"device_id","id_type","latitude","longitude","horizontal_accuracy","timestamp","ip_address","device_os","os_version","user_agent","country","source_id","publisher_id","app_id","location_context","geohash","consent","quad_id"
"f544eaff-80b7-4ca0-b575-95dbad4860cd","aaid","-22.336023","30.026873","15.0","1740925043000","102.141.87.16","Android","","","ZA","61","2020","","","ksj2gmbghze2","Y","314e461c2011f6a97ddf360b82eab129268337bda32a0cda1393f017f16072cf"
"18049f7f-032d-4723-a94a-778eb9f75154","aaid","-22.33019","30.036395","11.8","1740874628000","","Android","","","ZA","58","3324dbc0dba04d58a15301525d5ff255","","","ksj2gqzv4wzk","Y","0f2e5c1332f04e29841c2eae7903f2e6bd6512fdd02aed2242f7cf5dcf3f8118"
"4fa26485-66c6-4299-afe7-67aede64acec","aaid","-22.345455","30.036442","22.0","1740927045000","","Android","","","ZA","61","2020","","","ksj2gkpu7c62","Y","b39101abc0ad893720f360cd0a3fdaeaa4866e92ed8470fe31f5831d38346991"
"43f72404-dbe9-4b7a-a01b-9576d08fd910","aaid","-22.454914","29.320055","320.0","1740918955000","","Android","","","ZA","61","2020","","","kshb70nnwu9s","Y","56d3a25a19c62fae0e1ef69b47b4f6446125f90376a2620bf17239fcfa68caa5"
"05BF25EB-41F6-4C21-BD58-707D407296C1","idfa","-22.34001","30.01003","28.0","1740915024000","41.150.249.81","iOS","12","Chrome Mobile WebView 99.0.4844","ZA","61","2020","","","ksj2fvhsh2k1","Y","59f4f61b1e004329347d0d87d53eb47ef773525c17833e8c3df82b193fb3f146"
"63e1f19e-8d40-4ff7-a662-75e1e9d95bb5","aaid","-22.2945413","29.846607","28.0","1740947133000","","Android","9","Chrome Mobile WebView 87.0.4280","ZA","61","2020","","","ksj1pjmsuk70","Y","74650e421f719c817ef7e91b331a1640ccd004c89c2557450a8b9ad5bb99077b"
"bef71af7-7e2b-4f8f-a01e-f6bc39302b98","aaid","-22.434026","29.389686","23.0","1740933528000","","Android","","","ZA","61","2020","","","kshbku0bm66n","Y","a54a76fdd2dc49abe52d80ba4d2440efbca02e70cc41aa0b30baba5357e697f6"
"b2d9d5f9-005a-4f16-adc9-5ab9e080cc80","aaid","-22.404372","31.070712","27.0","1740893274000","","Android","","","ZA","61","2020","","","ksn0e13j0465","Y","7ef3714ce1854852e98a268a28a5ac480f7911f74666a6ca637ea9cf2abc9eec"
"6fbb7bcb-3cec-481c-a94c-ecdd2006f532","aaid","-22.3599","30.04","12.0","1740944584000","102.221.220.91","Android","","","ZA","61","2020","","","ksj2g9d2nsx3","Y","5864e8feefe8e24e2befc6f0a0be9a7b4081c8446360f518e5f0b457e8c01938"
"858ddca8-8399-4634-a5d6-b94c08a08c36","aaid","-22.354651","30.021556","31.0","1740914296000","","Android","","","ZA","61","2020","","","ksj2g4mn8zn8","Y","536d74a4261d9ac1bf46badbbebfb67617bebfe5c82468eec77172ddc224beda"
"24048859-d66d-4075-a69d-2d79334d2b07","aaid","-22.342731","30.037074","166.0","1740926129000","","Android","","","ZA","61","2020","","","ksj2gs8k4t1d","Y","1208919876f25983b96adff01c4a2ff07cc244dc373a54eed945bbc37fafa743"
"9255bb9d-12b6-4b79-abab-acaafd1908e8","aaid","-22.357847","30.042351","34.0","1740924931000","","Android","","","ZA","61","2020","","","ksj2g9uhje0x","Y","a70ddafb6592c22adad31ed8d2f08fb9f9ab5435f5380ca8ee72f649c8e6cf72"
